event_time,cumulative_possession_away,cumulative_possession_home,avg_pass_length_home,avg_pass_duration_home,cumulative_num_passes_home,avg_pass_length_away,avg_pass_duration_away,cumulative_num_passes_away,cumulative_shots_attempted_home,cumulative_shots_attempted_away,location_x_home,location_y_home,location_x_away,location_y_away,time_to_home_goal,time_to_away_goal
1420,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1421,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1422,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1423,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1424,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1425,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1426,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1427,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1428,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1429,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1430,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1431,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1432,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1433,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1434,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1435,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1436,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1437,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1438,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1439,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1440,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1441,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1442,798.6878071090005,139.53014799999997,22.021247505882354,1.727251254901961,51.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,92.2,73.5,106.1,77.3,,
1443,798.6878071090005,142.41890799999996,22.836525053846156,1.7495879615384617,52.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,6.0,44.0,106.1,77.3,,
1444,798.6878071090005,142.41890799999996,22.836525053846156,1.7495879615384617,52.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,6.0,44.0,106.1,77.3,,
1445,798.6878071090005,142.41890799999996,22.836525053846156,1.7495879615384617,52.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,6.0,44.0,106.1,77.3,,
1446,798.6878071090005,143.55919699999995,22.51465746037736,1.7380917547169812,53.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,62.8,75.3,106.1,77.3,,
1447,798.6878071090005,145.34901999999997,22.51465746037736,1.7380917547169812,53.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,57.5,73.0,106.1,77.3,,
1448,798.6878071090005,145.34901999999997,22.51465746037736,1.7380917547169812,53.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,57.5,73.0,106.1,77.3,,
1449,798.6878071090005,146.54877299999995,22.30068941481482,1.7178586666666666,54.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,54.2,9.9,106.1,77.3,,
1450,798.6878071090005,148.88580599999995,22.134401370909096,1.7004642545454547,55.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,66.2,76.9,106.1,77.3,,
1451,798.6878071090005,148.88580599999995,22.134401370909096,1.7004642545454547,55.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,66.2,76.9,106.1,77.3,,
1452,798.6878071090005,150.71511899999996,21.974323525000006,1.6854279821428573,56.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,70.0,74.7,106.1,77.3,,
1453,798.6878071090005,152.65513799999997,21.974323525000006,1.6854279821428573,56.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,73.1,61.9,106.1,77.3,,
1454,798.6878071090005,153.32402799999997,21.974323525000006,1.6854279821428573,56.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,42.2,13.7,106.1,77.3,,
1455,798.6878071090005,155.14192899999998,21.960196445614038,1.687752070175439,57.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,84.7,60.6,106.1,77.3,,
1456,798.6878071090005,155.14192899999998,21.960196445614038,1.687752070175439,57.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,84.7,60.6,106.1,77.3,,
1457,798.6878071090005,156.935085,21.960196445614038,1.687752070175439,57.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,98.9,76.3,106.1,77.3,,
1458,798.6878071090005,158.200941,21.82040126551724,1.6804780000000004,58.0,19.55234281339285,1.5281544553571444,224.0,0.0,3.0,104.0,72.0,106.1,77.3,,
