minute,second,player,team,team_id,possession,start_x,start_y,end_x,end_y,next_shot_xg,leads_to_shot,dx,dy,length,progressive,final_third,box_entry,cross,through,cutback,pass_type,structural_score,xg_norm,importance_raw,importance_norm,time
8,37,Romelu Lukaku Menama,Everton,29,18,94.5,65.7,97.9,77.9,0.0,0,3.4000000000000057,12.200000000000003,12.664912159190054,0,1,0,0,0,0,Lateral,0.7250000000000001,0.0,0.15640862940192674,0.18401015206778143,517
8,41,Aaron Lennon,Everton,29,18,102.5,70.1,90.4,66.0,0.0,0,-12.099999999999994,-4.099999999999994,12.775758294520125,0,1,0,0,0,1,Cutback,1.6183333333333336,0.0,0.34913282563050774,0.41074450036279486,521
8,44,Gareth Barry,Everton,29,18,94.5,65.9,102.8,66.0,0.0,0,8.299999999999997,0.09999999999999432,8.30060238777885,1,1,0,1,0,0,Cross,1.9775,0.0,0.4266180201962898,0.5019035527090175,524
9,2,Paul Dummett,Newcastle United,37,19,2.0,0.1,9.8,14.2,0.0,0,7.800000000000001,14.1,16.113658802394944,0,0,0,0,0,0,Forward,1.065,0.0,0.22975888319041646,0.27030456820991333,542
9,9,José Ramiro Funes Mori,Everton,29,20,51.5,41.2,51.2,51.6,0.0,0,-0.29999999999999716,10.399999999999999,10.404326023342405,0,0,0,0,0,0,Lateral,0.3350000000000001,0.0,0.07227157358571788,0.08502538061063004,549
9,16,John Stones,Everton,29,20,52.8,51.8,63.3,50.1,0.0,0,10.5,-1.6999999999999957,10.636728820459794,0,0,0,0,0,0,Forward,1.2525,0.0,0.27020939079436307,0.31789340064123617,556
9,17,Kevin Mirallas,Everton,29,20,63.3,50.1,69.2,58.2,0.0,0,5.900000000000006,8.100000000000001,10.020977996183811,0,0,0,0,0,0,Forward,1.1375000000000002,0.0,0.2453997461306092,0.28870558341669156,557
9,18,Ross Barkley,Everton,29,20,69.2,58.2,72.8,49.1,0.0,0,3.5999999999999943,-9.100000000000001,9.786214794290997,0,0,0,0,0,0,Lateral,0.7399999999999999,0.0,0.1596446700102424,0.18781725866228718,558
9,19,Kevin Mirallas,Everton,29,20,75.3,50.2,80.9,53.4,0.0,0,5.6000000000000085,3.1999999999999957,6.449806198638845,0,1,0,0,0,0,Forward,1.9800000000000002,0.0,0.4271573602976758,0.5025380704747686,559
9,20,Romelu Lukaku Menama,Everton,29,20,81.5,54.0,74.8,58.7,0.0,0,-6.700000000000003,4.700000000000003,8.184130986244053,0,0,0,0,0,0,Backward,0.028333333333333266,0.0,0.0061125211490408,0.007191201345177646,560
9,22,Ross Barkley,Everton,29,20,75.0,58.7,75.0,35.2,0.0,0,0.0,-23.5,23.5,0,0,0,0,0,0,Lateral,0.65,0.0,0.1402284263603481,0.1649746190952523,562
9,25,Tom Cleverley,Everton,29,20,78.6,31.5,91.9,5.2,0.0,0,13.300000000000011,-26.3,29.471681322924223,1,1,0,0,0,0,Progressive,2.0725000000000002,0.0,0.4471129440489561,0.5260152278075545,565
9,28,Leighton Baines,Everton,29,20,91.9,5.2,80.8,18.7,0.0,0,-11.100000000000009,13.5,17.477413996355416,0,1,0,0,0,0,Backward,0.43499999999999983,0.0,0.09384517764115599,0.11040609124066879,568
9,32,Tom Cleverley,Everton,29,20,83.6,11.2,87.3,2.7,0.0,0,3.700000000000003,-8.5,9.270382947861433,0,1,0,0,0,0,Lateral,0.7325000000000002,0.0,0.1580266497060846,0.18591370536503432,572
9,33,Leighton Baines,Everton,29,20,87.3,2.7,57.9,11.2,0.0,0,-29.4,8.5,30.60408469469394,0,0,0,0,0,0,Backward,0.0,0.0,0.0,0.0,573
9,36,José Ramiro Funes Mori,Everton,29,20,57.9,11.0,54.2,28.7,0.0,0,-3.6999999999999957,17.7,18.082588310305578,0,0,0,0,0,0,Lateral,0.27833333333333343,0.0,0.060046531287636255,0.07064297792027473,576
9,38,Gareth Barry,Everton,29,20,53.9,28.8,66.5,35.2,0.0,0,12.600000000000001,6.400000000000002,14.132232661543613,0,0,0,0,0,0,Forward,1.4650000000000003,0.0,0.3160532994121692,0.37182741073006864,578
9,39,Ross Barkley,Everton,29,20,66.5,35.2,53.4,52.9,0.0,0,-13.100000000000001,17.699999999999996,22.020445045457183,0,0,0,0,0,0,Backward,0.17166666666666663,0.0,0.03703468696183552,0.04357021991489996,579
9,44,John Stones,Everton,29,20,74.4,67.7,91.2,62.7,0.0,0,16.799999999999997,-5.0,17.52826289168439,1,1,0,0,0,0,Progressive,2.2399999999999998,0.0,0.4832487308418149,0.5685279181128694,584
9,46,Aaron Lennon,Everton,29,20,91.7,60.6,85.3,56.6,0.0,0,-6.400000000000006,-4.0,7.547184905645288,0,1,0,0,0,0,Backward,0.6333333333333332,0.0,0.1366328256844417,0.16074450065691245,586
9,47,Ross Barkley,Everton,29,20,85.3,56.6,109.7,58.8,0.0,0,24.400000000000006,2.1999999999999957,24.498979570586204,1,1,1,0,1,0,Through Ball,3.9399999999999995,0.0,0.8499999997842638,0.9999999988235292,587
9,55,Leighton Baines,Everton,29,20,77.3,21.3,45.0,17.7,0.0,0,-32.3,-3.6000000000000014,32.5,0,0,0,0,0,0,Backward,0.0,0.0,0.0,0.0,595
10,2,José Ramiro Funes Mori,Everton,29,20,47.3,17.7,37.5,32.4,0.0,0,-9.799999999999997,14.7,17.667201249773544,0,0,0,0,0,0,Backward,0.13666666666666671,0.0,0.029483925542432173,0.03468697119438639,602
10,4,Gareth Barry,Everton,29,20,37.2,34.6,63.3,77.0,0.0,0,26.099999999999994,42.4,49.789255869112964,1,0,0,0,0,0,Switch of Play,2.2899999999999996,0.0,0.49403553286953394,0.5812182734278887,604
10,8,John Stones,Everton,29,20,64.2,76.3,75.0,76.8,0.0,0,10.799999999999997,0.5,10.811567878897119,0,0,0,0,0,0,Forward,1.06,0.0,0.2286802029876446,0.26903553267841146,608
10,11,Aaron Lennon,Everton,29,20,75.0,76.8,66.9,66.8,0.0,0,-8.099999999999994,-10.0,12.868954891520907,0,0,0,0,0,0,Backward,0.13500000000000012,0.0,0.02912436547484155,0.034263959350552424,611
10,15,Ross Barkley,Everton,29,20,69.2,71.2,82.2,78.4,0.0,0,13.0,7.200000000000003,14.86068639060794,1,1,0,0,0,0,Progressive,2.065,0.0,0.44549492374479815,0.5241116745103015,615
10,18,Aaron Lennon,Everton,29,20,82.2,78.4,87.5,65.4,0.0,0,5.299999999999997,-13.0,14.038874598770372,0,1,0,0,0,0,Forward,1.3525,0.0,0.29178299484980125,0.343274111271275,618
